#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,lon,lat
332,107.47717,-7.23877
333,107.47717,-7.25676
334,107.47718,-7.27474
335,107.47719,-7.29273
336,107.47720,-7.31071
337,107.47720,-7.32870
338,107.47721,-7.34669
339,107.47722,-7.36467
340,107.47722,-7.38266
341,107.47723,-7.40065
342,107.47724,-7.41863
343,107.47725,-7.43662
344,107.47725,-7.45461
345,107.47726,-7.47259
346,107.47727,-7.49058
347,107.47728,-7.50857
348,107.47728,-7.52655
349,107.47729,-7.54454
350,107.49516,-6.93300
351,107.49517,-6.95099
352,107.49518,-6.96897
353,107.49519,-6.98696
354,107.49520,-7.00495
355,107.49520,-7.02293
356,107.49521,-7.04092
357,107.49522,-7.05890
358,107.49523,-7.07689
359,107.49523,-7.09488
360,107.49524,-7.11286
361,107.49525,-7.13085
362,107.49526,-7.14884
363,107.49527,-7.16682
364,107.49527,-7.18481
365,107.49528,-7.20280
366,107.49529,-7.22078
367,107.49530,-7.23877
368,107.49531,-7.25676
369,107.49531,-7.27474
370,107.49532,-7.29273
371,107.49533,-7.31071
372,107.49534,-7.32870
373,107.49535,-7.34669
374,107.49535,-7.36467
375,107.49536,-7.38266
376,107.49537,-7.40065
377,107.49538,-7.41863
378,107.49539,-7.43662
379,107.49539,-7.45461
380,107.49540,-7.47259
381,107.49541,-7.49058
382,107.49542,-7.50857
383,107.49543,-7.52655
384,107.49544,-7.54454
385,107.51328,-6.93300
386,107.51329,-6.95099
387,107.51330,-6.96897
388,107.51331,-6.98696
389,107.51332,-7.00495
390,107.51333,-7.02293
391,107.51333,-7.04092
392,107.51334,-7.05890
393,107.51335,-7.07689
394,107.51336,-7.09488
395,107.51337,-7.11286
396,107.51338,-7.13085
397,107.51338,-7.14884
398,107.51339,-7.16682
399,107.51340,-7.18481
400,107.51341,-7.20280
401,107.51342,-7.22078
402,107.51343,-7.23877
403,107.51344,-7.25676
404,107.51345,-7.27474
405,107.51345,-7.29273
406,107.51346,-7.31071
407,107.51347,-7.32870
